,open_time,open,high,low,close,VOLUME,close_time
0,1714930200000,0.5046,0.5055,0.4977,0.5002,2338222.8,1714931999999
1,1714932000000,0.5002,0.5005,0.4885,0.4889,4522355.5,1714933799999
2,1714933800000,0.4889,0.4975,0.4881,0.4935,2904661.0,1714935599999
3,1714935600000,0.4934,0.5017,0.4914,0.5011,2397692.4,1714937399999
4,1714937400000,0.5011,0.5062,0.4987,0.5009,4398289.8,1714939199999
5,1714939200000,0.5009,0.5041,0.4973,0.4979,2460422.2,1714940999999
6,1714941000000,0.4978,0.5025,0.4968,0.5007,1538182.9,1714942799999
7,1714942800000,0.5005,0.5053,0.4986,0.5009,1833139.4,1714944599999
8,1714944600000,0.5008,0.5047,0.5008,0.5029,935862.9,1714946399999
9,1714946400000,0.5029,0.503,0.4987,0.4998,1103344.8,1714948199999
10,1714948200000,0.4998,0.5018,0.4974,0.4977,1268914.6,1714949999999
11,1714950000000,0.4977,0.5062,0.4974,0.5055,2155947.2,1714951799999
12,1714951800000,0.5054,0.5056,0.5035,0.5037,1447769.5,1714953599999
13,1714953600000,0.5038,0.5093,0.5019,0.5073,3208016.6,1714955399999
14,1714955400000,0.5073,0.5107,0.5053,0.5074,2355180.1,1714957199999
15,1714957200000,0.5073,0.5199,0.5067,0.5125,4109790.7,1714958999999
16,1714959000000,0.5125,0.5126,0.5046,0.505,2975333.6,1714960799999
17,1714960800000,0.505,0.5055,0.4981,0.5008,2818160.8,1714962599999
18,1714962600000,0.5006,0.5008,0.4924,0.4934,2479239.3,1714964399999
19,1714964400000,0.4935,0.4959,0.488,0.492,3455832.2,1714966199999
20,1714966200000,0.4921,0.4964,0.4918,0.4933,1801098.6,1714967999999
21,1714968000000,0.4934,0.4975,0.491,0.4969,1571811.9,1714969799999
22,1714969800000,0.4969,0.4982,0.4937,0.4973,1691379.0,1714971599999
23,1714971600000,0.4972,0.4993,0.495,0.4986,768012.2,1714973399999
