,open_time,open,high,low,close,VOLUME,close_time
0,1714959000000,1.1644,1.17,1.1417,1.1472,9824587.0,1714960799999
1,1714960800000,1.147,1.1567,1.1286,1.1536,10522674.0,1714962599999
2,1714962600000,1.1536,1.165,1.1455,1.1533,6834128.0,1714964399999
3,1714964400000,1.1531,1.1643,1.1512,1.1591,6591917.0,1714966199999
4,1714966200000,1.159,1.1739,1.1541,1.1653,7592348.0,1714967999999
5,1714968000000,1.1652,1.1728,1.1575,1.1593,7198980.0,1714969799999
6,1714969800000,1.1596,1.1695,1.128,1.1558,18073993.0,1714971599999
7,1714971600000,1.1559,1.164,1.1417,1.1433,8508430.0,1714973399999
8,1714973400000,1.1434,1.1524,1.127,1.1334,11406811.0,1714975199999
9,1714975200000,1.1338,1.1489,1.1227,1.147,12956859.0,1714976999999
10,1714977000000,1.1471,1.1549,1.1325,1.1508,9490961.0,1714978799999
11,1714978800000,1.1508,1.1707,1.1492,1.1579,10580889.0,1714980599999
12,1714980600000,1.1578,1.1807,1.1544,1.1729,8981841.0,1714982399999
13,1714982400000,1.1729,1.1799,1.1564,1.1627,14301558.0,1714984199999
14,1714984200000,1.1626,1.1988,1.1536,1.1609,19361839.0,1714985999999
15,1714986000000,1.1607,1.2042,1.16,1.171,24187003.0,1714987799999
16,1714987800000,1.171,1.1971,1.1661,1.1898,11072332.0,1714989599999
17,1714989600000,1.1896,1.2085,1.1792,1.1804,17777819.0,1714991399999
18,1714991400000,1.1803,1.1841,1.1613,1.1705,15475682.0,1714993199999
19,1714993200000,1.1705,1.2092,1.1653,1.1901,17032285.0,1714994999999
20,1714995000000,1.1901,1.2384,1.18,1.2271,26649394.0,1714996799999
21,1714996800000,1.2271,1.2348,1.1854,1.1922,23925915.0,1714998599999
22,1714998600000,1.192,1.2083,1.1754,1.1965,17340627.0,1715000399999
23,1715000400000,1.1962,1.1978,1.1854,1.1874,3858767.0,1715002199999
